time,open,high,low,close,volume,oi,funding
1774460700000.0,91.89,91.99,91.84,91.87,24067.51,8882908.13,-0.00019447
1774461000000.0,91.86,91.88,91.59,91.61,96082.57,8882908.13,-0.00019447
1774461300000.0,91.6,91.76,91.55,91.67,58516.76,8882908.13,-0.00019447
1774461600000.0,91.68,91.77,91.62,91.73,48269.61,8882908.13,-0.00019447
1774461900000.0,91.74,91.93,91.72,91.75,48603.64,8882908.13,-0.00019447
1774462200000.0,91.76,91.87,91.75,91.85,37184.79,8882908.13,-0.00019447
1774462500000.0,91.85,92.07,91.84,91.95,61963.95,8882908.13,-0.00019447
1774462800000.0,91.96,92.15,91.95,92.07,49092.05,8882908.13,-0.00019447
1774463100000.0,92.08,92.09,91.93,91.99,30684.02,8882908.13,-0.00019447
1774463400000.0,92.0,92.05,91.92,91.96,34856.34,8882908.13,-0.00019447
1774463700000.0,91.95,91.99,91.77,91.82,24426.92,8882908.13,-0.00019447
1774464000000.0,91.81,91.83,91.65,91.75,28530.25,8882908.13,-0.00019447
1774464300000.0,91.74,91.8,91.71,91.73,19841.13,8882908.13,-0.00019447
1774464600000.0,91.74,91.87,91.71,91.87,19060.34,8882908.13,-0.00019447
1774464900000.0,91.87,91.87,91.41,91.65,118454.53,8882908.13,-0.00019447
1774465200000.0,91.65,91.88,91.58,91.88,48938.36,8882908.13,-0.00019447
1774465500000.0,91.88,91.9,91.67,91.71,27406.54,8882908.13,-0.00019447
1774465800000.0,91.71,91.81,91.58,91.81,50543.38,8882908.13,-0.00019447
1774466100000.0,91.8,91.85,91.75,91.82,27056.52,8882908.13,-0.00019447
1774466400000.0,91.81,91.95,91.78,91.82,26243.51,8882908.13,-0.00019447
1774466700000.0,91.81,91.85,91.65,91.73,30268.79,8882908.13,-0.00019447
1774467000000.0,91.73,91.75,91.6,91.73,39507.83,8882908.13,-0.00019447
1774467300000.0,91.74,91.88,91.62,91.86,24046.19,8882908.13,-0.00019447
1774467600000.0,91.85,91.92,91.62,91.65,23847.91,8882908.13,-0.00019447
1774467900000.0,91.65,91.72,91.56,91.69,25584.52,8882908.13,-0.00019447
